,year,month,weekday,total,pedestrian,motorist,cyclist
641,2020,Aug,Fri,0,0,0,0
642,2020,Aug,Sat,0,0,0,0
643,2020,Aug,Sun,2,0,2,0
644,2020,Dec,Mon,0,0,0,0
645,2020,Dec,Tue,0,0,0,0
646,2020,Dec,Wed,1,1,0,0
647,2020,Dec,Thu,1,0,1,0
648,2020,Dec,Fri,0,0,0,0
649,2020,Dec,Sat,0,0,0,0
650,2020,Dec,Sun,0,0,0,0
651,2020,Feb,Mon,1,0,1,0
652,2020,Feb,Tue,2,2,0,0
653,2020,Feb,Wed,1,0,1,0
654,2020,Feb,Thu,1,1,0,0
655,2020,Feb,Fri,1,1,0,0
656,2020,Feb,Sat,0,0,0,0
657,2020,Feb,Sun,0,0,0,0
658,2020,Jan,Mon,0,0,0,0
659,2020,Jan,Tue,1,1,0,0
660,2020,Jan,Wed,0,0,0,0
661,2020,Jan,Thu,0,0,0,0
662,2020,Jan,Fri,1,0,1,0
663,2020,Jan,Sat,2,1,1,0
664,2020,Jan,Sun,0,0,0,0
665,2020,Jul,Mon,0,0,0,0
